Source Name	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [CellLineage]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [CellMassMorphology]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [CellLine]	Term Source REF	Term Accession Number	Factor Value [GrowthCondition]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
T47D	T47D	EFO	EFO_0001247	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	T47D	P-TABM-1453	T47D	total_RNA	P-TABM-1454	T47D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T47D_2D_POP6_D07	A-AFFY-76	P-AFFY-6	T47D	EFO	EFO_0001247	2D gel	T47D_2D_POP6_D07	So_A032305_4006409_284_96_LBNL.D07_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
ZR75B	ZR75B	EFO	EFO_0001264	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	ZR75B	P-TABM-1453	ZR75B	total_RNA	P-TABM-1454	ZR75B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	ZR75B_3D_POP3_E08	A-AFFY-33	P-AFFY-6	ZR75B	EFO	EFO_0001264	3D gel	ZR75B_3D_POP3_E08	So_A120604_412315_96_3.E08_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB468	MDAMB468	EFO	EFO_0001216	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB468	P-TABM-1453	MDAMB468	total_RNA	P-TABM-1454	MDAMB468 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MDAMB468	A-AFFY-33	P-AFFY-6	MDAMB468	EFO	EFO_0001216	2D gel	cl51_MDAMB468	11.MDAMB.468.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_3D_POP0_C11	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	3D gel	S1_3D_POP0_C11	031004_LBLPOP_321521.C11_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB231	MDAMB231	EFO	EFO_0001209	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	MDAMB231	P-TABM-1453	MDAMB231	total_RNA	P-TABM-1454	MDAMB231 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB231_2D_POP0_G08	A-AFFY-76	P-AFFY-6	MDAMB231	EFO	EFO_0001209	2D gel	MDAMB231_2D_POP0_G08	031004_LBLPOP_321521.G08_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT474	BT474	EFO	EFO_0001093	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	BT474	P-TABM-1453	BT474	total_RNA	P-TABM-1454	BT474 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT474_3D_HTA12_A06	A-AFFY-76	P-AFFY-6	BT474	EFO	EFO_0001093	3D gel	BT474_3D_HTA12_A06	05113724012696080305.A06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB468	MDAMB468	EFO	EFO_0001216	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB468	P-TABM-1453	MDAMB468	total_RNA	P-TABM-1454	MDAMB468 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB468_3D_HTA12_D06	A-AFFY-76	P-AFFY-6	MDAMB468	EFO	EFO_0001216	3D gel	MDAMB468_3D_HTA12_D06	05113724012696080305.D06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1500	HCC1500	EFO	EFO_0001172	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	HCC1500	P-TABM-1453	HCC1500	total_RNA	P-TABM-1454	HCC1500 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mb_HCC1500	A-AFFY-33	P-AFFY-6	HCC1500	EFO	EFO_0001172	3D gel	mb_HCC1500	57_3D.HCC1500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT549	BT549	EFO	EFO_0001096	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	BT549	P-TABM-1453	BT549	total_RNA	P-TABM-1454	BT549 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT549_3D_POP4_D06	A-AFFY-76	P-AFFY-6	BT549	EFO	EFO_0001096	3D gel	BT549_3D_POP4_D06	So_A010505_412346_96_3.D06_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
SKBR3	SKBR3	EFO	EFO_0001236	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	SKBR3	P-TABM-1453	SKBR3	total_RNA	P-TABM-1454	SKBR3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_SKBR3	A-AFFY-33	P-AFFY-6	SKBR3	EFO	EFO_0001236	2D gel	cl51_SKBR3	06.SKBR3.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
