Number 1,Dataset,Pnumber,Cellline,Rawfile,Name,PX Accession,intrument,,00523_D02_P003815_B0L_A00_R1.RAW,PXD005940
1,kinome,P0001134,K-562,000194_A01_P0001134_B00_A00_R1.RAW,K-562 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B10_P003814_B0B_A00_R1.RAW,PXD005940
2,kinome,P0001135,EKVX,000194_B01_P0001135_B00_A00_R1.RAW,EKVX cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D03_P003815_B0T_A00_R1.RAW,PXD005940
3,kinome,P0001136,HOP-62,000194_C01_P0001136_B00_A00_R2.RAW,HOP-62 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B03_P003811_B0R_A00_R1.RAW,PXD005940
4,kinome,P0001137,HOP-92,000194_D01_P0001137_B00_A00_R1.RAW,HOP-92 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H08_P003817_B0P_A00_R1.RAW,PXD005940
5,kinome,P0001138,SF-268,000194_E01_P0001138_B00_A00_R2.RAW,SF-268 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F06_P003816_B0V_A00_R1.RAW,PXD005940
6,full proteome of 59 cell lines,P0001563,H522,000261_H04_P0001563_A00_B00H_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B10_P003818_B0B_A00_R1.RAW,PXD005940
7,full proteome of 59 cell lines,P0001563,H522,000261_B04_P0001563_A00_B00B_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H12_P003814_B0X_A00_R1.RAW,PXD005940
8,full proteome of 59 cell lines,P0001563,H522,000261_C04_P0001563_A00_B00C_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D01_P003815_B0D_A00_R1.RAW,PXD005940
9,full proteome of 59 cell lines,P0001563,H522,000261_B05_P0001563_A00_B00J_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G04_P003812_B0G_A00_R1.RAW,PXD005940
10,full proteome of 59 cell lines,P0001563,H522,000261_C05_P0001563_A00_B00K_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_F02_P003819_B0N_A00_R2.RAW,PXD005940
