source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[fraction identifier]	comment[flow rate chromatogram]	comment[technical replicate]	comment[Gradient time]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120323QEx2_RS1_20nl-min_0k1HeLa_10h_01.raw	1	20 nL/min	1	10h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120323QEx2_RS1_20nl-min_0k1HeLa_10h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120314QEx2_RS1_20nl-min_0k1HeLa_10h_01.raw	1	20 nL/min	2	10h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120314QEx2_RS1_20nl-min_0k1HeLa_10h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120327QEx2_RS1_50nl-min_0k1HeLa_10h_01.raw	1	50 nL/min	3	10h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120327QEx2_RS1_50nl-min_0k1HeLa_10h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120314QEx2_RS1_50nl-min_0k1HeLa_10h_01.raw	1	50 nL/min	4	10h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120314QEx2_RS1_50nl-min_0k1HeLa_10h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120323QEx2_RS1_20nl-min_0k1HeLa_14h_01.raw	1	20 nL/min	5	14h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120323QEx2_RS1_20nl-min_0k1HeLa_14h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 6	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120312QEx2_RS1_20nl-min_0k1HeLa_14h_01.raw	1	20 nL/min	6	14h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120312QEx2_RS1_20nl-min_0k1HeLa_14h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120327QEx2_RS1_50nl-min_0k1HeLa_14h_01.raw	1	50 nL/min	7	14h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120327QEx2_RS1_50nl-min_0k1HeLa_14h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 8	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120330QEx2_RS1_50nl-min_100ngHeLa_14h_01.raw	1	50 nL/min	8	14h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120330QEx2_RS1_50nl-min_100ngHeLa_14h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 9	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_20nl-min_10HeLa_8h_01.raw	1	20 nL/min	9	8h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120315QEx2_RS1_20nl-min_10HeLa_8h_01.raw	HeLa
PXD000396-Sample-1	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	1	cell line	run 10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_20nl-min_10HeLa_8h_02.raw	1	20 nL/min	10	8h	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	5 ppm	120315QEx2_RS1_20nl-min_10HeLa_8h_02.raw	HeLa
