Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[individual]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[file uri]	comment[data file]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fragment mass tolerance]
PXD015426-Sample-1	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	31	not available	cell	run 1	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F1.raw	LUM_02362_KS__X111_M51_col3_200nlMin_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-2	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	32	not available	cell	run 2	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F2.raw	LUM_02363_KS__X111_M51_col3_200nlMin_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-3	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	33	not available	cell	run 3	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F3.raw	LUM_02364_KS__X111_M51_col3_200nlMin_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-4	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	34	not available	cell	run 4	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F4.raw	LUM_02365_KS__X114_M54_col3_200nlMin_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-5	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	35	not available	cell	run 5	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F5.raw	LUM_02366_KS__X114_M54_col3_200nlMin_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-6	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	36	not available	cell	run 6	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F6.raw	LUM_02367_KS__X114_M54_col3_200nlMin_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-7	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	37	not available	cell	run 7	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F7.raw	LUM_02369_KS__X105_M45_col3_200nlMin_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-8	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	38	not available	cell	run 8	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F8.msf	LUM_02370_KS__X105_M45_col3_200nlMin_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-9	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	39	not available	cell	run 9	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530-F8.raw	LUM_02371_KS__X105_M45_col3_200nlMin_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
PXD015426-Sample-10	homo sapiens	human  breast	human breast cancer cells	C12959	not available	not available	not available	not available	not available	40	not available	cell	run 10	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/09/PXD013987/P20180700530.pep.xml	LUM_02372_KS__X113_M53_col3_200nlMin_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:0150067;NT=LTQ-Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	alkylate	10 ppm	35%	0.02 Da
