source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	characteristics[biological replicate]	Material Type	assay name	comment[label]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 1	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_1-3.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	1	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_1-3.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 2	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_1-3_191221232043.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	1	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_1-3_191221232043.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 3	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_1-3_191222002312.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	1	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_1-3_191222002312.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 4	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_10.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	10	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_10.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 5	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_10_191220201535.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	10	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_10_191220201535.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 6	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_10_191220211805.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	10	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_10_191220211805.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 7	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_11.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	11	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_11.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 8	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_11_191220222036.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	11	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_11_191220222036.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 9	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_11_191220232305.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	11	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_11_191220232305.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 10	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_12.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	12	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_12.raw	HepG2
