Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[uri]	comment[data file]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fragment mass tolerance]
PXD022469-sample-1	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 1	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_1.raw	AP051018_Gurjeet_LA_Hu14_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00425	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-2	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 2	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_10.raw	AP051018_Gurjeet_LA_Hu14_10.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00426	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-3	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 3	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_11.raw	AP051018_Gurjeet_LA_Hu14_11.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00427	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-4	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 4	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_12.raw	AP051018_Gurjeet_LA_Hu14_12.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00428	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-5	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 5	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_13.raw	AP051018_Gurjeet_LA_Hu14_13.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00429	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-6	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 6	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_14.raw	AP051018_Gurjeet_LA_Hu14_14.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00430	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-7	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 7	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_15.raw	AP051018_Gurjeet_LA_Hu14_15.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00431	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-8	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 8	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_16.raw	AP051018_Gurjeet_LA_Hu14_16.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00432	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-9	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 9	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_17.raw	AP051018_Gurjeet_LA_Hu14_17.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00433	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-10	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 10	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_18.raw	AP051018_Gurjeet_LA_Hu14_18.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00434	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-11	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 11	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_19.raw	AP051018_Gurjeet_LA_Hu14_19.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00435	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-12	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 12	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_2.raw	AP051018_Gurjeet_LA_Hu14_2.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00436	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-13	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 13	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_20.raw	AP051018_Gurjeet_LA_Hu14_20.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00437	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
