source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	assay name	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[label]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	factor value[organism part]
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 642	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f01.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f01.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 643	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f02.raw	NT=high pH RPLC;AC=PRIDE:0000564	2	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f02.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 644	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f03.raw	NT=high pH RPLC;AC=PRIDE:0000564	3	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f03.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 645	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f04.raw	NT=high pH RPLC;AC=PRIDE:0000564	4	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f04.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 646	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f05.raw	NT=high pH RPLC;AC=PRIDE:0000564	5	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f05.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 647	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f06.raw	NT=high pH RPLC;AC=PRIDE:0000564	6	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f06.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 648	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f07.raw	NT=high pH RPLC;AC=PRIDE:0000564	7	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f07.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 649	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f08.raw	NT=high pH RPLC;AC=PRIDE:0000564	8	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f08.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 650	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f09.raw	NT=high pH RPLC;AC=PRIDE:0000564	9	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f09.raw	organism part	Ovary
PXD000561-Sample-25	Homo sapiens	ovary	Fetus	not available	not available	not applicable	not available	not available	not available	run 651	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Fetal_Ovary_bRP_Elite_25_f10.raw	NT=high pH RPLC;AC=PRIDE:0000564	10	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Fetal_Ovary_bRP_Elite_25_f10.raw	organism part	Ovary
