source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 312	proteomic profiling by mass spectrometry	00644_A01_P004896_B0A_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_A01_P004896_B0A_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 313	proteomic profiling by mass spectrometry	00644_A02_P004896_B0I_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_A02_P004896_B0I_A00_R1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 314	proteomic profiling by mass spectrometry	00644_A03_P004896_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_A03_P004896_B0Q_A00_R1.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 315	proteomic profiling by mass spectrometry	00644_B01_P004896_B0B_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_B01_P004896_B0B_A00_R1.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 316	proteomic profiling by mass spectrometry	00644_B02_P004896_B0J_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_B02_P004896_B0J_A00_R1.raw	5	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 317	proteomic profiling by mass spectrometry	00644_B03_P004896_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_B03_P004896_B0R_A00_R1.raw	6	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 318	proteomic profiling by mass spectrometry	00644_C01_P004896_B0C_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_C01_P004896_B0C_A00_R1.raw	7	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 319	proteomic profiling by mass spectrometry	00644_C02_P004896_B0K_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_C02_P004896_B0K_A00_R1.raw	8	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 320	proteomic profiling by mass spectrometry	00644_C03_P004896_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_C03_P004896_B0S_A00_R1.raw	9	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
PXD000865-Sample-16	Homo sapiens	pancreas	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 321	proteomic profiling by mass spectrometry	00644_D01_P004896_B0D_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_D01_P004896_B0D_A00_R1.raw	10	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	pancreas
