Source Name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD000865-Sample-960	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 960	proteomic profiling by mass spectrometry	00794_H03_P006395_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_H03_P006395_B0X_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-961	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	2	tissue	run 961	proteomic profiling by mass spectrometry	00794_G03_P006395_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_G03_P006395_B0W_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-962	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	3	tissue	run 962	proteomic profiling by mass spectrometry	00794_F03_P006395_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_F03_P006395_B0V_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-964	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	4	tissue	run 964	proteomic profiling by mass spectrometry	00794_D03_P006395_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_D03_P006395_B0T_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-965	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	5	tissue	run 965	proteomic profiling by mass spectrometry	00794_C03_P006395_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_C03_P006395_B0S_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-966	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	6	tissue	run 966	proteomic profiling by mass spectrometry	00794_B03_P006395_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_B03_P006395_B0R_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-967	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	7	tissue	run 967	proteomic profiling by mass spectrometry	00794_A03_P006395_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_A03_P006395_B0Q_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-968	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	8	tissue	run 968	proteomic profiling by mass spectrometry	00794_H02_P006395_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_H02_P006395_B0P_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-969	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	9	tissue	run 969	proteomic profiling by mass spectrometry	00794_G02_P006395_B0O_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_G02_P006395_B0O_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
PXD000865-Sample-970	Homo sapiens	hair follicle	not applicable	not applicable	not available	normal	not available	not available	not available	10	tissue	run 970	proteomic profiling by mass spectrometry	00794_F02_P006395_B0N_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00794_F02_P006395_B0N_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	hair follicle
