Source Name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD000865-Sample-432	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 432	proteomic profiling by mass spectrometry	00655_H06_P004935_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_H06_P004935_B0X_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-433	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	2	tissue	run 433	proteomic profiling by mass spectrometry	00655_G06_P004935_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_G06_P004935_B0W_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-434	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	3	tissue	run 434	proteomic profiling by mass spectrometry	00655_F06_P004935_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_F06_P004935_B0V_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-435	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	4	tissue	run 435	proteomic profiling by mass spectrometry	00655_E06_P004935_B0U_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_E06_P004935_B0U_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-436	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	5	tissue	run 436	proteomic profiling by mass spectrometry	00655_D06_P004935_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_D06_P004935_B0T_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-437	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	6	tissue	run 437	proteomic profiling by mass spectrometry	00655_C06_P004935_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_C06_P004935_B0S_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-438	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	7	tissue	run 438	proteomic profiling by mass spectrometry	00655_B06_P004935_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_B06_P004935_B0R_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-439	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	8	tissue	run 439	proteomic profiling by mass spectrometry	00655_A06_P004935_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_A06_P004935_B0Q_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-440	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	9	tissue	run 440	proteomic profiling by mass spectrometry	00655_H05_P004935_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_H05_P004935_B0P_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
PXD000865-Sample-441	Homo sapiens	seminal vesicle	not applicable	not applicable	not available	normal	not available	not available	not available	10	tissue	run 441	proteomic profiling by mass spectrometry	00655_G05_P004935_B0O_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00655_G05_P004935_B0O_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.05 Da	seminal vesicle
