source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	technology type	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[file uri]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	material type	factor value[organism part]
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	1	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3001.raw	CHPP_SDS_3001.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	2	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3002.raw	CHPP_SDS_3002.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	3	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3003.raw	CHPP_SDS_3003.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	4	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3004.raw	CHPP_SDS_3004.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	5	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3005.raw	CHPP_SDS_3005.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	6	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3006.raw	CHPP_SDS_3006.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	7	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3007.raw	CHPP_SDS_3007.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	8	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3008.raw	CHPP_SDS_3008.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	9	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3009.raw	CHPP_SDS_3009.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
PXD002179-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	10	http://ftp.ebi.ac.uk/pride-archive/2015/11/PXD002179/CHPP_SDS_3010.raw	CHPP_SDS_3010.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	tissue	testis
