source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[proteomexchange accession number]	comment[data file]	comment[file url]	comment[technical replicate]	comment[fraction identifier]	comment[Fractionation method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	factor value[organism part]
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 1	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_1.raw	1	1	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 2	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_2.raw	1	2	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 3	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_3.raw	1	3	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 4	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_4.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_4.raw	1	4	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 5	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_5.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_5.raw	1	5	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 6	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_6.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_6.raw	1	6	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 7	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_7.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_7.raw	1	7	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 8	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_8.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_8.raw	1	8	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 9	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_9.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_9.raw	1	9	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 10	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_10.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_10.raw	1	10	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
