source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	Material Type	assay name	Technology Type	comment[label]	comment[file uri]	comment[instrument]	comment[fraction identifier]	comment[data file]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	cardiomyocytes	not available	not available	not available	not available	tissue	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F1.raw	NT=Q Exactive;AC=MS:1001911	1	20160906_QEplus_BenP_3DMyoBundle_CandMM_F1.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F10.raw	NT=Q Exactive;AC=MS:1001911	10	20160906_QEplus_BenP_3DMyoBundle_CandMM_F10.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F11.raw	NT=Q Exactive;AC=MS:1001911	11	20160906_QEplus_BenP_3DMyoBundle_CandMM_F11.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F12.raw	NT=Q Exactive;AC=MS:1001911	12	20160906_QEplus_BenP_3DMyoBundle_CandMM_F12.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F2.raw	NT=Q Exactive;AC=MS:1001911	2	20160906_QEplus_BenP_3DMyoBundle_CandMM_F2.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F3.raw	NT=Q Exactive;AC=MS:1001911	3	20160906_QEplus_BenP_3DMyoBundle_CandMM_F3.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F4.raw	NT=Q Exactive;AC=MS:1001911	4	20160906_QEplus_BenP_3DMyoBundle_CandMM_F4.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F5.raw	NT=Q Exactive;AC=MS:1001911	5	20160906_QEplus_BenP_3DMyoBundle_CandMM_F5.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F6.raw	NT=Q Exactive;AC=MS:1001911	6	20160906_QEplus_BenP_3DMyoBundle_CandMM_F6.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	tissue	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F7.raw	NT=Q Exactive;AC=MS:1001911	7	20160906_QEplus_BenP_3DMyoBundle_CandMM_F7.raw	"NT=Deamidated;MT=Variable;TA=N,Q,R;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	20 ppm	0.5 Da	heart
