source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[sex]	characteristics[cell line]	comment[biological replicate]	Material Type	assay name	comment[label]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[MS2 mass analyzer]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Factor Value[organism part]
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 1	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_1.raw	1	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_1.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 2	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_2.raw	1	2	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_2.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 3	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_3.raw	1	3	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_3.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 4	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_4.raw	1	4	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_4.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 5	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_5.raw	1	5	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_5.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 6	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_6.raw	1	6	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_6.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 7	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_7.raw	1	7	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_7.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 8	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_8.raw	1	8	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_8.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 9	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_9.raw	1	9	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_9.raw	anterior pituitary gland
PXD005819-Sample-1	Homo sapiens	anterior pituitary gland	normal	34	adult	not applicable	not applicable	male	not applicable	1	adenohypophysis	run 10	NT=label free sample;AC=1002038	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD005819/Adeno_IG_10.raw	1	10	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=MS:1000422	39 NCE	AC=MS:1000484; NT=Orbitrap	NT=Oxidation; AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=trypsin;AC=MS:1001251	0.05 Da	20 ppm	Adeno_IG_10.raw	anterior pituitary gland
