source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[phenotype]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[file uri]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD006675-Sample-SingleShot-1	Homo sapiens	heart	not available	male	not available	Ao	adult	not available	trauma victims	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_aO1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_aO1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-2	Homo sapiens	heart	not available	male	not available	Ao	adult	not available	trauma victims	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_Ao2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_Ao2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-3	Homo sapiens	heart	not available	male	not available	LA	adult	not available	trauma victims	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_LA1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_LA1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-4	Homo sapiens	heart	not available	male	not available	LA	adult	not available	trauma victims	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_LA2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_LA2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-5	Homo sapiens	heart	not available	male	not available	LV	adult	not available	trauma victims	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_LV1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_LV1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-6	Homo sapiens	heart	not available	male	not available	LV	adult	not available	trauma victims	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_LV2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_LV2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-7	Homo sapiens	heart	not available	male	not available	MK	adult	not available	trauma victims	not available	1	tissue	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_MK1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_MK1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-8	Homo sapiens	heart	not available	male	not available	MK	adult	not available	trauma victims	not available	1	tissue	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_MK2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_MK2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-9	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_RA1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_RA1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-10	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_RA1bis.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_RA1bis.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
