source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	technology type	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	material type	factor value[organism part]
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	1	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin1.raw	Trypsin1.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	2	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin2.raw	Trypsin2.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	3	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin3.raw	Trypsin3.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	4	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin4.raw	Trypsin4.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	5	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin5.raw	Trypsin5.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	6	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin6.raw	Trypsin6.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	7	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin7.raw	Trypsin7.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	8	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin8.raw	Trypsin8.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 9	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	9	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin9.raw	Trypsin9.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 10	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin10.raw	Trypsin10.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 11	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	11	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin11.raw	Trypsin11.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 12	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	12	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin12.raw	Trypsin12.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 13	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	13	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin13.raw	Trypsin13.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 14	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	14	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin14.raw	Trypsin14.raw	tissue	testis
