source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	material type	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]
PXD010271-Sample-117	Homo sapiens	blood plasma	blood plasma	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 117	proteomic profiling by mass spectrometry	CPTAC_TrypDige_undepleted_normal_19Apr13_Methow_13-02-13.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_TrypDige_undepleted_normal_19Apr13_Methow_13-02-13.raw	blood plasma
PXD010271-Sample-118	Homo sapiens	blood plasma	blood plasma	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 118	proteomic profiling by mass spectrometry	Darpa_2_human_02_23Jan17_Arwem_16-10-25.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Darpa_2_human_02_23Jan17_Arwem_16-10-25.raw	blood plasma
PXD010271-Sample-156	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 156	proteomic profiling by mass spectrometry	HURN_01_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_01_run1_9May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-157	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 157	proteomic profiling by mass spectrometry	HURN_02_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_02_run1_9May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-158	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 158	proteomic profiling by mass spectrometry	HURN_03_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_03_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-159	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 159	proteomic profiling by mass spectrometry	HURN_04_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_04_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-160	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 160	proteomic profiling by mass spectrometry	HURN_05_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_05_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-161	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 161	proteomic profiling by mass spectrometry	HURN_06_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_06_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-162	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 162	proteomic profiling by mass spectrometry	HURN_07_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_07_run1_9May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-163	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 163	proteomic profiling by mass spectrometry	HURN_08_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_08_run1_9May13_Leopard_13-05-02.raw	blood plasma
