source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	material type	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]
PXD010271-Sample-178	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 178	proteomic profiling by mass spectrometry	Lewy_1Ct2_3Sep13_Pippin_13-06-18.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy_1Ct2_3Sep13_Pippin_13-06-18.raw	brain
PXD010271-Sample-181	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 181	proteomic profiling by mass spectrometry	Lewy_2Ct2_3Sep13_Pippin_13-06-18.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy_2Ct2_3Sep13_Pippin_13-06-18.raw	brain
PXD010271-Sample-184	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 184	proteomic profiling by mass spectrometry	Lewy_4Ct2_3Sep13_Pippin_13-06-18.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy_4Ct2_3Sep13_Pippin_13-06-18.raw	brain
PXD010271-Sample-187	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 187	proteomic profiling by mass spectrometry	Lewy2_1Ct2_2Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy2_1Ct2_2Nov13_Samwise_13-07-28.raw	brain
PXD010271-Sample-190	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 190	proteomic profiling by mass spectrometry	Lewy2_2Ct2_2Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy2_2Ct2_2Nov13_Samwise_13-07-28.raw	brain
PXD010271-Sample-193	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 193	proteomic profiling by mass spectrometry	Lewy2_4Ct2_2Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy2_4Ct2_2Nov13_Samwise_13-07-28.raw	brain
PXD010271-Sample-196	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 196	proteomic profiling by mass spectrometry	Lewy2_5Ct2_2Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy2_5Ct2_2Nov13_Samwise_13-07-28.raw	brain
PXD010271-Sample-199	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 199	proteomic profiling by mass spectrometry	Lewy3_17Ct2_17Sep14_Frodo_14-04-13.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy3_17Ct2_17Sep14_Frodo_14-04-13.raw	brain
PXD010271-Sample-202	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 202	proteomic profiling by mass spectrometry	Lewy3_18Ct2_17Sep14_Frodo_14-04-13.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy3_18Ct2_17Sep14_Frodo_14-04-13.raw	brain
PXD010271-Sample-205	Homo sapiens	brain	substantia nigra	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 205	proteomic profiling by mass spectrometry	Lewy3_19Ct2_17Sep14_Frodo_14-04-13.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Lewy3_19Ct2_17Sep14_Frodo_14-04-13.raw	brain
