source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	material type	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]
PXD010271-Sample-119	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 119	proteomic profiling by mass spectrometry	DARPA_Mono_SP164116_555_13Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP164116_555_13Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-120	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 120	proteomic profiling by mass spectrometry	DARPA_Mono_SP288C9A_137_17Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP288C9A_137_17Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-121	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 121	proteomic profiling by mass spectrometry	DARPA_Mono_SP2C1D8E_471_20Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP2C1D8E_471_20Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-122	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 122	proteomic profiling by mass spectrometry	DARPA_Mono_SP4FFF3B_797_8Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP4FFF3B_797_8Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-123	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 123	proteomic profiling by mass spectrometry	DARPA_Mono_SP550403_465_10Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP550403_465_10Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-124	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 124	proteomic profiling by mass spectrometry	DARPA_Mono_SP5C5CCC_143_13Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP5C5CCC_143_13Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-125	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 125	proteomic profiling by mass spectrometry	DARPA_Mono_SP6134DC_537_13Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP6134DC_537_13Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-126	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 126	proteomic profiling by mass spectrometry	DARPA_Mono_SP80746A_543_13Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP80746A_543_13Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-127	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 127	proteomic profiling by mass spectrometry	DARPA_Mono_SP8636B5_695_13Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SP8636B5_695_13Nov17_Oak_Jup-17-11-01.raw	monocyte
PXD010271-Sample-128	Homo sapiens	monocyte	monocyte	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 128	proteomic profiling by mass spectrometry	DARPA_Mono_SPB7ACE2_495_8Nov17_Oak_Jup-17-11-01.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/DARPA_Mono_SPB7ACE2_495_8Nov17_Oak_Jup-17-11-01.raw	monocyte
