source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	material type	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[instrument]	comment [cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]
PXD010271-Sample-87	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 87	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV007_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV007_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-88	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 88	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV008_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV008_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-89	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 89	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV010_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV010_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-90	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 90	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV013_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV013_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-91	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 91	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV017_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV017_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-92	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 92	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV019_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV019_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-93	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 93	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV023_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV023_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-94	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 94	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV024_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV024_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-95	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 95	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV029_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV029_NM_19Nov15_Arwen_15-07-13.raw	ovary
PXD010271-Sample-96	Homo sapiens	ovary	ovary	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 96	proteomic profiling by mass spectrometry	CPTAC_OvC_01OV039_NM_19Nov15_Arwen_15-07-13.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/CPTAC_OvC_01OV039_NM_19Nov15_Arwen_15-07-13.raw	ovary
