source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	material type	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[instrument]	comment [cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]
PXD010271-Sample-1	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 1	proteomic profiling by mass spectrometry	61928_PT_S1_6029_A_13Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6029_A_13Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-3	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 3	proteomic profiling by mass spectrometry	61928_PT_S1_6057_A_13Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6057_A_13Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-4	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 4	proteomic profiling by mass spectrometry	61928_PT_S1_6172_A_15Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6172_A_15Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-5	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 5	proteomic profiling by mass spectrometry	61928_PT_S1_6174_A_15Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6174_A_15Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-6	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 6	proteomic profiling by mass spectrometry	61928_PT_S1_6195_B_15Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6195_B_15Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-7	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 7	proteomic profiling by mass spectrometry	61928_PT_S1_6196_A_rr_15Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6196_A_rr_15Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-8	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 8	proteomic profiling by mass spectrometry	61928_PT_S1_6211_A_15Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6211_A_15Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-9	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 9	proteomic profiling by mass spectrometry	61928_PT_S1_6211_B_15Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6211_B_15Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-10	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 10	proteomic profiling by mass spectrometry	61928_PT_S1_6212_A_15Jan14_Frodo_13-12-03.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S1_6212_A_15Jan14_Frodo_13-12-03.raw	pancreas
PXD010271-Sample-11	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 11	proteomic profiling by mass spectrometry	61928_PT_S3_6029_A_30Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S3_6029_A_30Nov13_Samwise_13-07-28.raw	pancreas
