source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	technology type	assay name	comment[label]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	material type	factor value[organism part]
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 1	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	1	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_1.raw	2509_1.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 2	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	10	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_10.raw	2509_10.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 3	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	11	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_11.raw	2509_11.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 4	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	12	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_12.raw	2509_12.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 5	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	2	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_2.raw	2509_2.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 6	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	3	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_3.raw	2509_3.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 7	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	4	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_4.raw	2509_4.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 8	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	5	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_5.raw	2509_5.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 9	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	6	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_6.raw	2509_6.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 10	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	7	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_7.raw	2509_7.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD022661-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	1	8	http://ftp.ebi.ac.uk/pride-archive/2020/11/PXD022661/2509_8.raw	2509_8.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
