source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]
PXD003539-Sample-1	Homo sapiens	not available	not available	not available	LE_CCRFCEM	1	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_003_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_003_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-1	Homo sapiens	not available	not available	not available	LE_CCRFCEM	1	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_002_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_002_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-2	Homo sapiens	not available	not available	not available	LC_EKVX	1	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_004_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_004_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-2	Homo sapiens	not available	not available	not available	LC_EKVX	1	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_003_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_003_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-3	Homo sapiens	not available	not available	not available	CO_HCT116	1	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_005_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_005_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-3	Homo sapiens	not available	not available	not available	CO_HCT116	1	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_004_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_004_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-4	Homo sapiens	not available	not available	not available	OV_IGROV1	1	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_006_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_006_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-4	Homo sapiens	not available	not available	not available	OV_IGROV1	1	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_005_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_005_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-5	Homo sapiens	not available	not available	not available	RE_RXF393	1	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_007_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_007_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-5	Homo sapiens	not available	not available	not available	RE_RXF393	1	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_006_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_006_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-6	Homo sapiens	not available	not available	not available	RE_CAKI1	1	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_010_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_010_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-6	Homo sapiens	not available	not available	not available	RE_CAKI1	1	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_002_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_002_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-7	Homo sapiens	not available	not available	not available	CO_KM12	1	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_011_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_011_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
