source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	factor value[disease]
PXD010437-Sample-1	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-09-1664-01A-01_D_W_JHU_140820.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-09-1664-01A-01_D_W_JHU_140820.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-2	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-09-1664-01A-01_S_W_JHU_141107.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-09-1664-01A-01_S_W_JHU_141107.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-3	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-09-2056-01B-01_D_W_JHU_140612.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-09-2056-01B-01_D_W_JHU_140612.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-4	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-09-2056-01B-01_S_W_JHU_141031.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-09-2056-01B-01_S_W_JHU_141031.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-5	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1404-01A-01_D_W_JHU_140808.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1404-01A-01_D_W_JHU_140808.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-6	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1404-01A-01_S_W_JHU_141115.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1404-01A-01_S_W_JHU_141115.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-7	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1409-01A-01_D_W_JHU_140613.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1409-01A-01_D_W_JHU_140613.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-8	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1409-01A-01_S_W_JHU_141102.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1409-01A-01_S_W_JHU_141102.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-9	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1410-01A-01_D_W_JHU_140613.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1410-01A-01_D_W_JHU_140613.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-10	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1410-01A-01_S_W_JHU_141103.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1410-01A-01_S_W_JHU_141103.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-11	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1482-01A-01_D_W_JHU_140613.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1482-01A-01_D_W_JHU_140613.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-12	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1482-01A-01_S_W_JHU_141102.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1482-01A-01_S_W_JHU_141102.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-13	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1483-01A-01_D_W_JHU_140613.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1483-01A-01_D_W_JHU_140613.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-14	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1483-01A-01_S_W_JHU_141103.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1483-01A-01_S_W_JHU_141103.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-15	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1485-01A-02_D_W_JHU_140822.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1485-01A-02_D_W_JHU_140822.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-16	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1485-01A-02_S_W_JHU_141103.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1485-01A-02_S_W_JHU_141103.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
PXD010437-Sample-17	Homo sapiens	Ovary	Malignant neoplasm of ovary	female	not available	Ovarian surface epithelial cell	not available	1	tissue	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	TCGA-13-1487-01A-01_D_W_JHU_140820.wiff   	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD010437/TCGA-13-1487-01A-01_D_W_JHU_140820.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;TA=M;AC=UNIMOD:35	NT=Methyl;TA=C;AC=UNIMOD:34	NT=Acetyl;TA=N-term;AC=UNIMOD:1	NT=SWATH MS;AC=PRIDE:0000447	6 m/z	25 m/z	Malignant neoplasm of ovary
