source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
sample1	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	1	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF105_DDA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF105_DDA.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample2	Homo sapiens	Primary Prostate Tissue	not not available	not available	not available	cancer-associated fibroblasts	2	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF105_DDA_160430215118.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF105_DDA_160430215118.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample3	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	3	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF105_DIA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF105_DIA.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample4	Homo sapiens	Primary Prostate Tissue	not not available	not available	not available	cancer-associated fibroblasts	4	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF105_DIA_160501113202.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF105_DIA_160501113202.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample5	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	1	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF107_DDA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF107_DDA.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample6	Homo sapiens	Primary Prostate Tissue	not not available	not available	not available	cancer-associated fibroblasts	2	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF107_DDA_160501152755.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF107_DDA_160501152755.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample7	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	3	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF107_DIA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF107_DIA.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample8	Homo sapiens	Primary Prostate Tissue	not not available	not available	not available	cancer-associated fibroblasts	1	P3	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF128_DDA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF128_DDA.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample9	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	1	P4	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF76_DDA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF76_DDA.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
sample10	Homo sapiens	Primary Prostate Tissue	not not available	not available	not available	cancer-associated fibroblasts	2	P4	cell	proteomic profiling by mass spectrometry	run1	1	20160427_Fibroblasts_Phospho_CAF76_DDA_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160427_Fibroblasts_Phospho_CAF76_DDA_2.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Phospho;MT=Variable;TA=serine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=threonine;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=tyrosine;AC=UNIMOD:21	4.5 ppm	20 ppm	cancer-associated fibroblasts
