source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[collision energy]
PXD013658-Sample-1	Athaliana	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-01of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-01of20_MSG_R01_T0.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-2	Athaliana	not available	not available	not available	1	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-02of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-02of20_MSG_R01_T0.raw	1	2	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-3	Athaliana	not available	not available	not available	1	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-03of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-03of20_MSG_R01_T0.raw	1	3	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-4	Athaliana	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-04of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-04of20_MSG_R01_T0.raw	1	4	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-5	Athaliana	not available	not available	not available	1	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-05of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-05of20_MSG_R01_T0.raw	1	5	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-6	Athaliana	not available	not available	not available	1	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-06of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-06of20_MSG_R01_T0.raw	1	6	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-7	Athaliana	not available	not available	not available	1	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-07of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-07of20_MSG_R01_T0.raw	1	7	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-8	Athaliana	not available	not available	not available	1	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-08of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-08of20_MSG_R01_T0.raw	1	8	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-9	Athaliana	not available	not available	not available	1	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-09of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-09of20_MSG_R01_T0.raw	1	9	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-10	Athaliana	not available	not available	not available	1	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-10of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-10of20_MSG_R01_T0.raw	1	10	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-11	Athaliana	not available	not available	not available	1	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-11of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-11of20_MSG_R01_T0.raw	1	11	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-12	Athaliana	not available	not available	not available	1	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-12of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-12of20_MSG_R01_T0.raw	1	12	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-13	Athaliana	not available	not available	not available	1	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-13of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-13of20_MSG_R01_T0.raw	1	13	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-14	Athaliana	not available	not available	not available	1	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-14of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-14of20_MSG_R01_T0.raw	1	14	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-15	Athaliana	not available	not available	not available	1	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	G_D181106_S553-CSH60cm-3h-Athaliana-Lib-15of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/G_D181106_S553-CSH60cm-3h-Athaliana-Lib-15of20_MSG_R01_T0.raw	1	15	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
