source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[collision energy]
PXD013658-Sample-1	Hela cells	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-01of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-01of20_MSG_R01_T0.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-2	Hela cells	not available	not available	not available	1	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-02of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-02of20_MSG_R01_T0.raw	1	2	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-3	Hela cells	not available	not available	not available	1	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-03of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-03of20_MSG_R01_T0.raw	1	3	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-4	Hela cells	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-04of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-04of20_MSG_R01_T0.raw	1	4	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-5	Hela cells	not available	not available	not available	1	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-05of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-05of20_MSG_R01_T0.raw	1	5	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-6	Hela cells	not available	not available	not available	1	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-06of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-06of20_MSG_R01_T0.raw	1	6	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-7	Hela cells	not available	not available	not available	1	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-07of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-07of20_MSG_R01_T0.raw	1	7	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-8	Hela cells	not available	not available	not available	1	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-08of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-08of20_MSG_R01_T0.raw	1	8	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-9	Hela cells	not available	not available	not available	1	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-09of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-09of20_MSG_R01_T0.raw	1	9	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-10	Hela cells	not available	not available	not available	1	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-10of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-10of20_MSG_R01_T0.raw	1	10	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-11	Hela cells	not available	not available	not available	1	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-11of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-11of20_MSG_R01_T0.raw	1	11	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
PXD013658-Sample-12	Hela cells	not available	not available	not available	1	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	I_D181219_S553-Hela-HPRP-3h-12of20_MSG_R01_T0.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-12of20_MSG_R01_T0.raw	1	12	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	350 Th	1650 Th	25.5、27、30
