Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[cell number]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell number]
Sample 1	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	0	1	cell	run 1	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_0_30min_C2_r1.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_0_30min_C2_r1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	0
Sample 2	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	0	2	cell	run 2	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_0_30min_r1.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_0_30min_r1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	0
Sample 3	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	0	3	cell	run 3	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_0_30min_r2.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_0_30min_r2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	0
Sample 4	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	1	cell	run 4	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r1.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 5	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	2	cell	run 5	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r2.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 6	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	3	cell	run 6	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r3.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 7	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	4	cell	run 7	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r4.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 8	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	5	cell	run 8	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r5.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 9	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	6	cell	run 9	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r6.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_r6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 10	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	7	cell	run 10	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r1.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 11	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	8	cell	run 11	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r2.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 12	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	9	cell	run 12	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r3.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 13	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	10	cell	run 13	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r4.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 14	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	1	11	cell	run 14	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r5.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_1_30min_C2_r5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	1
Sample 15	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	3	1	cell	run 15	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_3_30min_C2_r1.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_3_30min_C2_r1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	3
Sample 16	Homo sapiens	breast	69Y	not available	MCF-7	epithelial cell	female	white	breast adenocarcinoma	3	2	cell	run 16	proteomic profiling by mass spectrometry	NanoPOTS_Autosampler_FACS_MCF10A_3_30min_C2_r2.raw	ftp://massive.ucsd.edu/MSV000085230/raw/MCF10A_LC_30minutes/NanoPOTS_Autosampler_FACS_MCF10A_3_30min_C2_r2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	3
