Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[mass]
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 1	proteomic profiling by mass spectrometry	20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac01_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac01_01.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 2	proteomic profiling by mass spectrometry	20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac02_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac02_01.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 3	proteomic profiling by mass spectrometry	20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac03_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac03_01.RAW	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 4	proteomic profiling by mass spectrometry	20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac4_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac4_01.RAW	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 5	proteomic profiling by mass spectrometry	20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac5_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac5_01.RAW	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 6	proteomic profiling by mass spectrometry	20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac06_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac06_01.RAW	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 7	proteomic profiling by mass spectrometry	20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac07_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac07_01.RAW	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 8	proteomic profiling by mass spectrometry	20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac08_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac08_01.RAW	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 9	proteomic profiling by mass spectrometry	20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac09_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac09_01.RAW	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
Sample 1	Escherichia coli K-12	whole plant	not available	K12	not available	not applicable	not available	not available	not available	10 ug	SP=Homo sapiens;CT=Mixture;CN=Hela;QY=60 ug	1	whole organism	run 10	proteomic profiling by mass spectrometry	20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac10_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000279/20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac10_01.RAW	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	10 ug
