Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	Characteristics[biological replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fragment mass tolerance]	factor value[time]
PXD001432-Sample-1	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 1	proteomic profiling by mass spectrometry	SUK5556A2MA11__002-Spender1_0hT SUK5556A2MA11-40-215846.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A2MA11__002-Spender1_0hT SUK5556A2MA11-40-215846.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-2	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 2	proteomic profiling by mass spectrometry	SUK5556A3MA11__003-Spender2_0hT SUK5556A3MA11-40-215856.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A3MA11__003-Spender2_0hT SUK5556A3MA11-40-215856.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-3	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 3	proteomic profiling by mass spectrometry	SUK5556A4MA11__004-Spender3_0hT SUK5556A4MA11-40-215863.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A4MA11__004-Spender3_0hT SUK5556A4MA11-40-215863.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-4	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 4	proteomic profiling by mass spectrometry	SUK5556A5MA11__005-Spender4_0hT SUK5556A5MA11-40-215885.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A5MA11__005-Spender4_0hT SUK5556A5MA11-40-215885.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-5	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 5	proteomic profiling by mass spectrometry	SUK5556A7MA11__007-Spender1_3hT SUK5556A7MA11-40-215849.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A7MA11__007-Spender1_3hT SUK5556A7MA11-40-215849.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-6	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 6	proteomic profiling by mass spectrometry	SUK5556A8MA11__008-Spender2_3hT SUK5556A8MA11-40-215850.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A8MA11__008-Spender2_3hT SUK5556A8MA11-40-215850.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-7	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 7	proteomic profiling by mass spectrometry	SUK5556A9MA11__009-Spender3_3hT SUK5556A9MA11-40-215847.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A9MA11__009-Spender3_3hT SUK5556A9MA11-40-215847.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-8	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 8	proteomic profiling by mass spectrometry	SUK5556A10MA11__010-Spender4_3hT SUK5556A10MA11-40-215848.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A10MA11__010-Spender4_3hT SUK5556A10MA11-40-215848.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-9	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 9	proteomic profiling by mass spectrometry	SUK5556A12MA11__012-Spender1_6hT SUK5556A12MA11-40-215782.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A12MA11__012-Spender1_6hT SUK5556A12MA11-40-215782.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
PXD001432-Sample-10	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 10	proteomic profiling by mass spectrometry	SUK5556A13MA11__013-Spender2_6hT SUK5556A13MA11-40-215781.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A13MA11__013-Spender2_6hT SUK5556A13MA11-40-215781.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
