Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[sample type]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[phenotype]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]	Factor Value[sample type]
PXD006439-Sample-1	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	1	cell	run 1	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_A1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-1	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	1	cell	run 2	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_A2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-1	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	1	cell	run 3	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_A3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-1	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	1	cell	run 4	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_A4_160202090357.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_A4_160202090357.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-1	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	1	cell	run 5	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_A5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_A5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-2	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	2	cell	run 6	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_C1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-2	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	2	cell	run 7	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_C2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-2	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	2	cell	run 8	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_C3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-2	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	2	cell	run 9	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_C4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_C4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-2	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	2	cell	run 10	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_C5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_C5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
