source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	"characteristics[cell line]	"	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	factor value[ iron chelators]
PXD007595-sample-1	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157 "	1	proteomic profiling by mass spectrometry	run1	1	Sample1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample1_1.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-1	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157 "	1	proteomic profiling by mass spectrometry	run2	2	Sample1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample1_2.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-1	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	1	proteomic profiling by mass spectrometry	run3	3	Sample1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample1_3.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-1	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	1	proteomic profiling by mass spectrometry	run4	4	Sample1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample1_4.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-2	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	2	proteomic profiling by mass spectrometry	run5	1	Sample2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample2_1.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-2	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	2	proteomic profiling by mass spectrometry	run6	2	Sample2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample2_2.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-2	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	2	proteomic profiling by mass spectrometry	run7	3	Sample2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample2_3.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-2	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	2	proteomic profiling by mass spectrometry	run8	4	Sample2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample2_4.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-3	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	3	proteomic profiling by mass spectrometry	run9	1	Sample3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample3_1.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-3	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	3	proteomic profiling by mass spectrometry	run10	2	Sample3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample3_2.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-3	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	3	proteomic profiling by mass spectrometry	run11	3	Sample3_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample3_3.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
PXD007595-sample-3	Homo sapiens	Breast cancer cell line	not available	Breast cancer	"MDA-MB-231,MDA-MB-157"	3	proteomic profiling by mass spectrometry	run12	4	Sample3_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007595/Sample3_4.raw	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	not available	10 ppm	0.5 Da	35% NCE	not available
