Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[collision energy]	Comment[dissociation method]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	factor value[time]	factor value[treatment]
Sample 1	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 1	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_24h_R1_injection_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_24h_R1_injection_1.raw	24h	3 ¦Ìm gefitinib (EGFRi)
Sample 1	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 2	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_24h_R1_injection_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_24h_R1_injection_2.raw	24h	3 ¦Ìm gefitinib (EGFRi)
Sample 2	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 3	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_2h_R1_injection_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_2h_R1_injection_2.raw	2h	3 ¦Ìm gefitinib (EGFRi)
Sample 2	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 4	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_2h_R1_injection_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_2h_R1_injection_3.raw	2h	3 ¦Ìm gefitinib (EGFRi)
Sample 3	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 5	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_48h_R1_injection_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_48h_R1_injection_3.raw	48h	3 ¦Ìm gefitinib (EGFRi)
Sample 3	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 6	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_48h_R1_injection_5.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_48h_R1_injection_5.raw	48h	3 ¦Ìm gefitinib (EGFRi)
Sample 4	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 7	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_6h_R1_injection_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_6h_R1_injection_1.raw	6h	3 ¦Ìm gefitinib (EGFRi)
Sample 4	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 8	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/GEF_6h_R1_injection_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	GEF_6h_R1_injection_2.raw	6h	3 ¦Ìm gefitinib (EGFRi)
Sample 5	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_24h_R1_injection_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_24h_R1_injection_3.raw	24h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
Sample 5	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 10	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/KO_PLX_24h_R1_injection_4.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	KO_PLX_24h_R1_injection_4.raw	24h	"3 ¦Ìm PLX4032 (BRAFi, BRAFi in PTPN11 KO)"
