Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	Characteristics[technology type]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[precursor mass tolerance]
Sample 1	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 1	proteomic profiling by mass spectrometry	Cornea_bRPLC_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 2	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 2	proteomic profiling by mass spectrometry	Cornea_bRPLC_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_18.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 3	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 3	proteomic profiling by mass spectrometry	Cornea_bRPLC_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_19.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 4	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 4	proteomic profiling by mass spectrometry	Cornea_bRPLC_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 5	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 5	proteomic profiling by mass spectrometry	Cornea_bRPLC_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_20.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 6	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 6	proteomic profiling by mass spectrometry	Cornea_bRPLC_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_21.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 7	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 7	proteomic profiling by mass spectrometry	Cornea_bRPLC_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_22.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 8	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 8	proteomic profiling by mass spectrometry	Cornea_bRPLC_23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_23.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 9	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 9	proteomic profiling by mass spectrometry	Cornea_bRPLC_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_24.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 10	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 10	proteomic profiling by mass spectrometry	Cornea_bRPLC_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 11	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 11	proteomic profiling by mass spectrometry	Cornea_bRPLC_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
