source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	"characteristics[cell line]	"	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	factor value[kinase inhibitors]
PXD012953-sample-1	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run1	1	01411_D08_P014177_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_D08_P014177_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-2	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run2	1	01411_C08_P014176_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_C08_P014176_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-3	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run3	1	01411_B08_P014175_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_B08_P014175_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-4	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run4	1	01411_A08_P014174_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_A08_P014174_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-5	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run5	1	01411_H07_P014173_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_H07_P014173_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-6	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run6	1	01411_G07_P014172_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_G07_P014172_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-7	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run7	1	01411_F07_P014171_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_F07_P014171_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-8	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run8	1	01411_E07_P014170_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_E07_P014170_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-9	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run9	1	01411_D07_P014169_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_D07_P014169_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
PXD012953-sample-10	Homo sapiens	Stomach	not available	Gastric cancer (GC)	AGP-01	1	proteomic profiling by mass spectrometry	run10	1	01411_C07_P014168_B00_A00_R1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012953/01411_C07_P014168_B00_A00_R1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	HCD	 10 ppm	 20 ppm	 30% NCE	Dasatinib beads
