Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[histologic subtype]	Characteristics[biological replicate]	Characteristics[individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[histologic subtype]	Factor Value[instrument]
Sample 1	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-1	tissue	run 1	proteomic profiling by mass spectrometry	dc_07282017_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 2	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-2	tissue	run 2	proteomic profiling by mass spectrometry	dc_07282017_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 3	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-3	tissue	run 3	proteomic profiling by mass spectrometry	dc_07282017_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 4	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-4	tissue	run 4	proteomic profiling by mass spectrometry	dc_07282017_T4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 5	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-5	tissue	run 5	proteomic profiling by mass spectrometry	dc_08252017_T1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T1_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 6	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-6	tissue	run 6	proteomic profiling by mass spectrometry	dc_08252017_T2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T2_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 7	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-7	tissue	run 7	proteomic profiling by mass spectrometry	dc_08252017_T3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T3_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 8	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-8	tissue	run 8	proteomic profiling by mass spectrometry	dc_08252017_T4_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T4_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 9	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-9	tissue	run 9	proteomic profiling by mass spectrometry	dc_07282017_T5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T5.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 10	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-10	tissue	run 10	proteomic profiling by mass spectrometry	dc_08252017_T5_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T5_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Orbitrap Elite;AC=MS:1001910
