source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell line]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]
PXD014391-sample-1	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run1	1	HF394_MSQ1471_20180924_HannahScott_1_180924205858	HF394_MSQ1471_20180924_HannahScott_1_180924205858	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-2	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run2	1	HF394_MSQ1471_20180924_HannahScott_2	HF394_MSQ1471_20180924_HannahScott_2	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-3	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run3	1	HF394_MSQ1471_20180924_HannahScott_3	HF394_MSQ1471_20180924_HannahScott_3	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-4	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run4	1	HF394_MSQ1471_20180924_HannahScott_4	HF394_MSQ1471_20180924_HannahScott_4	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-5	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run5	1	HF394_MSQ1471_20180924_HannahScott_5	HF394_MSQ1471_20180924_HannahScott_5	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-6	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run6	1	HF394_MSQ1471_20180924_HannahScott_6	HF394_MSQ1471_20180924_HannahScott_6	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-7	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run7	1	HF394_MSQ1471_20180924_HannahScott_7	HF394_MSQ1471_20180924_HannahScott_7	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-8	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run8	1	HF394_MSQ1471_20180924_HannahScott_8	HF394_MSQ1471_20180924_HannahScott_8	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-9	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run9	1	HF394_MSQ1471_20180924_HannahScott_9	HF394_MSQ1471_20180924_HannahScott_9	9	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-10	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run10	1	HF394_MSQ1471_20180924_HannahScott_10	HF394_MSQ1471_20180924_HannahScott_10	10	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-11	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run11	1	HF394_MSQ1471_20180924_HannahScott_11	HF394_MSQ1471_20180924_HannahScott_11	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-12	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run12	1	HF394_MSQ1471_20180924_HannahScott_12	HF394_MSQ1471_20180924_HannahScott_12	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-13	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run13	1	HF394_MSQ1471_20180924_HannahScott_13	HF394_MSQ1471_20180924_HannahScott_13	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-14	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run14	1	HF394_MSQ1471_20180924_HannahScott_14	HF394_MSQ1471_20180924_HannahScott_14	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-15	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run15	1	HF394_MSQ1471_20180924_HannahScott_15_180926094252	HF394_MSQ1471_20180924_HannahScott_15_180926094252	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-16	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run16	1	HF394_MSQ1471_20180924_HannahScott_16	HF394_MSQ1471_20180924_HannahScott_16	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-17	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run17	1	HF394_MSQ1471_20180924_HannahScott_17	HF394_MSQ1471_20180924_HannahScott_17	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-18	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run18	1	HF394_MSQ1471_20180924_HannahScott_18	HF394_MSQ1471_20180924_HannahScott_18	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-19	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run19	1	HF394_MSQ1471_20180924_HannahScott_19	HF394_MSQ1471_20180924_HannahScott_19	9	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
