Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[mass]	Characteristics[spiked compound]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[spiked compound]
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 1	proteomic profiling by mass spectrometry	a11849_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11849_human_90min_hrMS2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 2	proteomic profiling by mass spectrometry	a11850_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11850_human_90min_hrMS2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 3	proteomic profiling by mass spectrometry	a11851_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11851_human_90min_hrMS2.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 4	proteomic profiling by mass spectrometry	a11852_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11852_human_90min_hrMS2.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 5	proteomic profiling by mass spectrometry	a11853_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11853_human_90min_hrMS2.raw	5	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 6	proteomic profiling by mass spectrometry	a11854_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11854_human_90min_hrMS2.raw	6	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 7	proteomic profiling by mass spectrometry	a11855_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11855_human_90min_hrMS2.raw	7	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 8	proteomic profiling by mass spectrometry	a11856_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11856_human_90min_hrMS2.raw	8	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 9	proteomic profiling by mass spectrometry	a11857_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11857_human_90min_hrMS2.raw	9	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 10	proteomic profiling by mass spectrometry	a11858_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11858_human_90min_hrMS2.raw	10	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
