source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[phenotype]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD014458-Sample-1	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	1	nontumorigenic	cell	run 1	proteomic profiling by mass spectrometer	MCF10_G1C1_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1C1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-2	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	2	nontumorigenic	cell	run 2	proteomic profiling by mass spectrometer	MCF10_G1C1_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1C1_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-3	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	3	nontumorigenic	cell	run 3	proteomic profiling by mass spectrometer	MCF10_G1C3_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1C3_5.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-4	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	4	nontumorigenic	cell	run 4	proteomic profiling by mass spectrometer	MCF10_G1N1_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1N1_2.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-5	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	5	nontumorigenic	cell	run 5	proteomic profiling by mass spectrometer	MCF10_G1N2_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1N2_5.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-6	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	6	nontumorigenic	cell	run 6	proteomic profiling by mass spectrometer	MCF10_G1N3_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1N3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-7	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	7	nontumorigenic	cell	run 7	proteomic profiling by mass spectrometer	MCF10_SC2_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC2_4.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-8	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	8	nontumorigenic	cell	run 8	proteomic profiling by mass spectrometer	MCF10_SC3_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-9	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	9	nontumorigenic	cell	run 9	proteomic profiling by mass spectrometer	MCF10_SC3_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC3_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-10	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	10	nontumorigenic	cell	run 10	proteomic profiling by mass spectrometer	MCF10_SC3_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC3_4.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
