Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[cell type]	Characteristics[biological replicate]	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[instrument]	factor value[cell fraction]
PXD018230-Sample-1	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 1	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_high_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_high_R0.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-2	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 2	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_high_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_high_R1.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-3	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 3	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_high_R1_20191011084554.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_high_R1_20191011084554.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-4	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 4	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_high_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_high_R2.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-5	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 5	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_high_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_high_R3.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-6	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 6	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_low_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_low_R0.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-7	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 7	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_low_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_low_R1.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-8	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_low_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_low_R2.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-9	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC02_low_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC02_low_R3.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-10	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 10	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_high_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_high_R0.raw	mitochondrial membrane potential (MMP) high
