Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[individual]	Characteristics[biological replicate]	Characteristics[time]	Material Type	assay name	technology type	comment[file uri]	comment[data file]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fragment mass tolerance]	factor value[time]
PXD018588-Sample-1	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	176	1	Day 0	cell	run 1	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02362_KS__X111_M51_col3_200nlMin_1.raw	LUM_02362_KS__X111_M51_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-1	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	177	1	Day 0	cell	run 2	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02363_KS__X111_M51_col3_200nlMin_2.raw	LUM_02363_KS__X111_M51_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-1	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	178	1	Day 0	cell	run 3	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02364_KS__X111_M51_col3_200nlMin_3.raw	LUM_02364_KS__X111_M51_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-2	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	179	2	Day 0	cell	run 4	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02365_KS__X114_M54_col3_200nlMin_1.raw	LUM_02365_KS__X114_M54_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-2	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	180	2	Day 0	cell	run 5	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02366_KS__X114_M54_col3_200nlMin_2.raw	LUM_02366_KS__X114_M54_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-2	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	181	2	Day 0	cell	run 6	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02367_KS__X114_M54_col3_200nlMin_3.raw	LUM_02367_KS__X114_M54_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-3	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	182	3	Day 0	cell	run 7	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02369_KS__X105_M45_col3_200nlMin_1.raw	LUM_02369_KS__X105_M45_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-3	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	183	3	Day 0	cell	run 8	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02370_KS__X105_M45_col3_200nlMin_2.raw	LUM_02370_KS__X105_M45_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-3	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	184	3	Day 0	cell	run 9	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02371_KS__X105_M45_col3_200nlMin_3.raw	LUM_02371_KS__X105_M45_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 0
PXD018588-Sample-4	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	185	1	Day 1	cell	run 10	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02372_KS__X113_M53_col3_200nlMin_1.raw	LUM_02372_KS__X113_M53_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
