source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[chemical treatment]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[chemical treatment]
PXD019347-Sample-6	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT17	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 16	proteomic profiling by mass spectrometry	1	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_1R_001.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_1R_001.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-4	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT29	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 28	proteomic profiling by mass spectrometry	1	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_1R_013.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_1R_013.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-6	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT18	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 17	proteomic profiling by mass spectrometry	2	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_2R_002.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_2R_002.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-4	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT30	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 29	proteomic profiling by mass spectrometry	2	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_2R_014.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_2R_014.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-6	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT19	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 18	proteomic profiling by mass spectrometry	3	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_3R_003.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_3R_003.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-4	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT31	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 30	proteomic profiling by mass spectrometry	3	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_3R_015.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_3R_015.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-1	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT20	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 19	proteomic profiling by mass spectrometry	4	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_4R_004.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_4R_004.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-5	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT32	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 31	proteomic profiling by mass spectrometry	4	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_4R_016.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_4R_016.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-1	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT21	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 20	proteomic profiling by mass spectrometry	5	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_5F_005.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_5F_005.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-5	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT33	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 32	proteomic profiling by mass spectrometry	5	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_5F_017.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_5F_017.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
