source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[chemical treatment]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[chemical treatment]
PXD019347-Sample-1	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT2	non formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 1	proteomic profiling by mass spectrometry	1	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_001.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_001.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	non formate
PXD019347-Sample-1	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT3	non formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 2	proteomic profiling by mass spectrometry	2	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_002.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_002.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	non formate
PXD019347-Sample-1	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT4	non formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 3	proteomic profiling by mass spectrometry	3	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_003.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_003.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	non formate
PXD019347-Sample-2	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT5	non formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	2	cell	run 4	proteomic profiling by mass spectrometry	1	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_007.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_007.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	non formate
PXD019347-Sample-2	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT6	non formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	2	cell	run 5	proteomic profiling by mass spectrometry	2	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_008.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_008.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	non formate
PXD019347-Sample-2	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT7	non formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	2	cell	run 6	proteomic profiling by mass spectrometry	3	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_009.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_009.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	non formate
PXD019347-Sample-3	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT8	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 7	proteomic profiling by mass spectrometry	1	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_004.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_004.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	formate
PXD019347-Sample-3	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT9	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 8	proteomic profiling by mass spectrometry	2	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_005.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_005.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	formate
PXD019347-Sample-3	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT10	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 9	proteomic profiling by mass spectrometry	3	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_006.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_006.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	formate
PXD019347-Sample-4	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT11	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	2	cell	run 10	proteomic profiling by mass spectrometry	1	20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_010.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/20190725_KEH_LU_SA_JAT_R25_25072019_Phospho_SHMT2_F_010.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	formate
