Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[treatment]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[treatment]
Sample 1	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	1	cell	run 1	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP1_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP1_F1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 1	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	1	cell	run 2	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP1_F2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 2	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	2	cell	run 3	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP2_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP2_F1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 2	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	2	cell	run 4	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP2_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP2_F2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 3	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	3	cell	run 5	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP3_F1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 3	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	3	cell	run 6	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP3_F2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 4	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	4	cell	run 7	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP4_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP4_F1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 4	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	4	cell	run 8	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP4_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP4_F2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 5	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	5	cell	run 9	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP5_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP5_F1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
Sample 5	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	5	cell	run 10	proteomic profiling by mass spectrometry	20191219_HepG2_sp3_LFQ_BaP_BP5_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020248/20191219_HepG2_sp3_LFQ_BaP_BP5_F2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	28 NCE	4.5 ppm	20 ppm	BaP
