source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[culture medium]	characteristics[phenotype]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD020426-Sample-1	Homo sapiens	skin	epithelial	A375	adult	Malignant Melanoma	no melanoma conditioned medium	Malignant Melanoma with no melanoma conditioned medium	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 1	OB_A375_1_20180210_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_A375_1_20180210_01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma with no melanoma conditioned medium
PXD020426-Sample-2	Homo sapiens	skin	epithelial	A375	adult	Malignant Melanoma	no melanoma conditioned medium	Malignant Melanoma with no melanoma conditioned medium	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 2	OB_A375_2_20180210_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_A375_2_20180210_02.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma with no melanoma conditioned medium
PXD020426-Sample-3	Homo sapiens	skin	epithelial	A375	adult	Malignant Melanoma	no melanoma conditioned medium	Malignant Melanoma with no melanoma conditioned medium	not available	female	54Y	3	cell	proteomic profiling by mass spectrometer	run 3	OB_A375_3_20180210_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_A375_3_20180210_03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma with no melanoma conditioned medium
PXD020426-Sample-4	Homo sapiens	skin	epithelial	A375	adult	Malignant Melanoma	melanoma conditioned medium	Malignant Melanoma with melanoma conditioned medium	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 4	OB_A375_4_20180210_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_A375_4_20180210_04.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma with melanoma conditioned medium
PXD020426-Sample-5	Homo sapiens	skin	epithelial	A375	adult	Malignant Melanoma	melanoma conditioned medium	Malignant Melanoma with melanoma conditioned medium	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 5	OB_A375_5_20180210_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_A375_5_20180210_05.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma with melanoma conditioned medium
PXD020426-Sample-6	Homo sapiens	skin	epithelial	A375	adult	Malignant Melanoma	melanoma conditioned medium	Malignant Melanoma with melanoma conditioned medium	not available	female	54Y	3	cell	proteomic profiling by mass spectrometer	run 6	OB_A375_6_20180210_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_A375_6_20180210_06.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma with melanoma conditioned medium
PXD020426-Sample-7	Homo sapiens	skin	fibroblast	Hs68	neonate	normal	no melanoma conditioned medium	normal with no melanoma conditioned medium	White	female	not available	1	cell	proteomic profiling by mass spectrometer	run 7	OB_AZP_HS68_1_20180127_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_AZP_HS68_1_20180127_01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	normal with no melanoma conditioned medium
PXD020426-Sample-8	Homo sapiens	skin	fibroblast	Hs68	neonate	normal	no melanoma conditioned medium	normal with no melanoma conditioned medium	White	female	not available	2	cell	proteomic profiling by mass spectrometer	run 8	OB_AZP_HS68_2_20180127_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_AZP_HS68_2_20180127_02.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	normal with no melanoma conditioned medium
PXD020426-Sample-9	Homo sapiens	skin	fibroblast	Hs68	neonate	normal	no melanoma conditioned medium	normal with no melanoma conditioned medium	White	female	not available	3	cell	proteomic profiling by mass spectrometer	run 9	OB_AZP_HS68_3_20180127_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_AZP_HS68_3_20180127_03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	normal with no melanoma conditioned medium
PXD020426-Sample-10	Homo sapiens	skin	fibroblast	Hs68	neonate	normal	melanoma conditioned medium	normal with melanoma conditioned medium	White	female	not available	1	cell	proteomic profiling by mass spectrometer	run 10	OB_AZP_HS68_4_20180127_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_AZP_HS68_4_20180127_04.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	normal with melanoma conditioned medium
