source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[phenotype]	characteristics[biological replicate]	characteristics[cell line]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD023505-Sample-1	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	1	MCF 10A-derived cell	cell	run 1	proteomic profiling by mass spectrometry	MCF10_Exo1_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo1_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-1	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	1	MCF 10A-derived cell	cell	run 2	proteomic profiling by mass spectrometry	MCF10_Exo1_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo1_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-1	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	1	MCF 10A-derived cell	cell	run 3	proteomic profiling by mass spectrometry	MCF10_Exo1_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo1_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-2	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	2	MCF 10A-derived cell	cell	run 4	proteomic profiling by mass spectrometry	MCF10_Exo2_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo2_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-2	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	2	MCF 10A-derived cell	cell	run 5	proteomic profiling by mass spectrometry	MCF10_Exo2_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo2_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-2	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	2	MCF 10A-derived cell	cell	run 6	proteomic profiling by mass spectrometry	MCF10_Exo2_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo2_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-3	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	3	MCF 10A-derived cell	cell	run 7	proteomic profiling by mass spectrometry	MCF10_Exo3_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo3_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-3	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	3	MCF 10A-derived cell	cell	run 8	proteomic profiling by mass spectrometry	MCF10_Exo3_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo3_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-3	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	3	MCF 10A-derived cell	cell	run 9	proteomic profiling by mass spectrometry	MCF10_Exo3_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_Exo3_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-4	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	4	MCF 10A-derived cell	cell	run 10	proteomic profiling by mass spectrometry	MCF10_MV1_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV1_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
