source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
PXD023734-Sample-1	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 1	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KO-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KO-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-1	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 2	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KO-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KO-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-1	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 3	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KO-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KO-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-1	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 4	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KO-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KO-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-2	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 5	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-2	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 6	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-2	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 7	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-2	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 8	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-3	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 9	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2H2O2-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2H2O2-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-3	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 10	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2H2O2-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2H2O2-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
