Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Characteristics[Individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]	Factor Value[disease]
Sample 1	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C1	organism part	run 1	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	1	1	TMT126	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 2	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C2	organism part	run 1	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	1	1	TMT127	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 3	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C3	organism part	run 1	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	1	1	TMT128	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 1	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	1	1	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 5	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP2	organism part	run 1	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	1	1	TMT130	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 6	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP3	organism part	run 1	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	2014_11_18_CAP_OT_197_VIG_1404_pancreas_01.raw	1	1	TMT131	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 1	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C1	organism part	run 2	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	1	2	TMT126	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 2	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C2	organism part	run 2	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	1	2	TMT127	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 3	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C3	organism part	run 2	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	1	2	TMT128	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 2	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	2014_11_18_CAP_OT_198_VIG_1404_pancreas_02.raw	1	2	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
