Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]	Factor Value[enrichment process]
Sample 1	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	controls with a low pathology of plaques and tangles (LPCs)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT126	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	controls with a low pathology of plaques and tangles (LPCs)	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	controls with a low pathology of plaques and tangles (LPCs)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT127N	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	controls with a low pathology of plaques and tangles (LPCs)	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	controls with high Aβ pathology but no detectable cognitive defects	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT127C	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	controls with high Aβ pathology but no detectable cognitive defects	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	controls with high Aβ pathology but no detectable cognitive defects	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT128N	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	controls with high Aβ pathology but no detectable cognitive defects	enrichment of phosphorylated Protein
Sample 5	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	mild cognitive impairment (MCI)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT128C	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	mild cognitive impairment (MCI)	enrichment of phosphorylated Protein
Sample 6	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	mild cognitive impairment (MCI)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT129N	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	mild cognitive impairment (MCI)	enrichment of phosphorylated Protein
Sample 7	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	late-stage AD with high pathology scores of plaques and tangles (AD)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT129C	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	late-stage AD with high pathology scores of plaques and tangles (AD)	enrichment of phosphorylated Protein
Sample 8	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	late-stage AD with high pathology scores of plaques and tangles (AD)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT130N	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	late-stage AD with high pathology scores of plaques and tangles (AD)	enrichment of phosphorylated Protein
Sample 9	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	progressive supranuclear palsy (PSP)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT130C	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	progressive supranuclear palsy (PSP)	enrichment of phosphorylated Protein
Sample 10	Homo sapiens	brain	not available	not available	not applicable	not applicable	not available	progressive supranuclear palsy (PSP)	1	enrichment of phosphorylated Protein	tissue	run 1	proteomic profiling by mass spectrometry	p01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	1	TMT131N	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Fixed"	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	35%-38% NCE	8 ppm	15 ppm	progressive supranuclear palsy (PSP)	enrichment of phosphorylated Protein
