source name	characteristics[organism]	characteristics[disease]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[organism part]	characteristics[organism part].1	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	characteristics[depletion]	assay name	Technology Type	comment[label]	comment[proteomexchange accession number]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 96	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	1	00522_A10_P003814_B0A_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A10_P003814_B0A_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 77	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	2	00522_B10_P003814_B0B_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B10_P003814_B0B_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 76	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	3	00522_C10_P003814_B0C_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C10_P003814_B0C_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 94	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	4	00522_D10_P003814_B0D_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D10_P003814_B0D_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 90	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	5	00522_E10_P003814_B0E_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E10_P003814_B0E_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 80	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	6	00522_F10_P003814_B0F_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F10_P003814_B0F_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 75	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	7	00522_G10_P003814_B0G_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G10_P003814_B0G_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 74	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	8	00522_H10_P003814_B0H_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H10_P003814_B0H_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 78	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	9	00522_A11_P003814_B0I_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A11_P003814_B0I_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
PXD005940-Sample-4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	no depletion	run 82	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	10	00522_B11_P003814_B0J_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B11_P003814_B0J_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
